r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order
0.015,0.0,0.02,-0.03,15.41280746459961,3.048,-2.61009,6.60059,0.9176671684291283,0.10310614793348431,0.38373961255724465,r0015t002l-003,30.0
0.015,0.005,0.02,-0.03,22.139385223388672,-0.132109,-2.95151,5.759958,0.6943812823756068,0.7196062756084631,-0.001201162488741679,r0015s0005t002l-003,31.0
0.015,0.01,0.02,-0.03,31.420787811279297,-0.133193,-2.952593,6.349957,0.7035671475205497,0.7106280377526778,-0.0010299949396385094,r0015s001t002l-003,32.0
0.03,0.0,0.02,-0.03,27.288694381713867,3.048,-2.61009,6.60059,0.6922217049990681,0.02170880959095872,0.7213583289283674,r003t002l-003,33.0
0.03,0.005,0.02,-0.03,32.35988235473633,-0.132109,-2.95151,5.759958,0.7499945280722524,0.6613865312698936,-0.008721474442853224,r003s0005t002l-003,34.0
0.03,0.01,0.02,-0.03,39.216163635253906,-0.133193,-2.952593,6.349957,0.708144468348264,0.706066952683369,-0.0009328859392243348,r003s001t002l-003,35.0
0.0,0.0,0.0,-0.015,5.153717994689941,3.048,-2.60858,6.4107,0.12129107664555241,0.9925935974311225,-0.006813594125387023,l-0015,36.0
0.0,0.005,0.0,-0.015,9.894330024719238,3.048,-2.61009,6.60059,0.18266930583587154,0.9831744114945765,-3.588501327944118e-05,s0005l-0015,37.0
0.0,0.01,0.0,-0.015,14.312498092651367,3.048,-2.61009,6.60059,0.8159193887020212,0.578135620399276,0.005895385115860074,s001l-0015,38.0
0.015,0.0,0.0,-0.015,13.763748168945312,3.048,-2.61009,6.60059,0.35579763905354084,0.012583123253569688,-0.9344783063576765,r0015l-0015,39.0
0.015,0.005,0.0,-0.015,16.423362731933594,3.048,-2.61009,6.60059,-0.935957756196121,-0.08165051487564803,0.3425146303982708,r0015s0005l-0015,40.0
0.015,0.01,0.0,-0.015,18.75122833251953,3.048,-2.61009,6.60059,0.9308044720489342,0.36523699208270954,0.014316928025228699,r0015s001l-0015,41.0
0.03,0.0,0.0,-0.015,25.876079559326172,3.048,-2.61009,6.60059,0.1562281321380108,0.0020849960181268164,-0.9877187977963529,r003l-0015,42.0
0.03,0.005,0.0,-0.015,29.606182098388672,3.048,-2.61009,6.60059,-0.7809035893540021,-0.030847492298427336,0.6238894263833411,r003s0005l-0015,43.0
0.03,0.01,0.0,-0.015,31.09514808654785,3.048,-2.61009,6.60059,-0.9032780569980661,-0.06907111930537267,0.4234594812065277,r003s001l-0015,44.0
0.0,0.0,0.0067,-0.015,7.116299152374268,3.048,-2.60858,6.4107,0.21674130028247024,0.9762270682657224,-0.001979883121903576,t00067l-0015,45.0
